Transmission1,Measure Names,Year1,Measure Values
Automatic,Avg. SP Euros,2017,12853.75
Automatic,Avg. PP Euros,2017,14420
Automatic,Avg. SP Euros,2016,7616.666666667
Automatic,Avg. PP Euros,2016,9411.666666667
Automatic,Avg. SP Euros,2015,13093.75
Automatic,Avg. PP Euros,2015,17741.25
Automatic,Avg. SP Euros,2014,11647.5
Automatic,Avg. PP Euros,2014,21120
Automatic,Avg. SP Euros,2013,8536.666666667
Automatic,Avg. PP Euros,2013,15600
Automatic,Avg. SP Euros,2012,14700
Automatic,Avg. PP Euros,2012,30610
Automatic,Avg. SP Euros,2011,4400
Automatic,Avg. PP Euros,2011,8010
Automatic,Avg. SP Euros,2010,2750
Automatic,Avg. PP Euros,2010,11675
Automatic,Avg. SP Euros,2009,3600
Automatic,Avg. PP Euros,2009,15040
Automatic,Avg. SP Euros,2008,1473.333333333
Automatic,Avg. PP Euros,2008,7960
Automatic,Avg. SP Euros,2006,2500
Automatic,Avg. PP Euros,2006,23730
Automatic,Avg. SP Euros,2004,1500
Automatic,Avg. PP Euros,2004,12350
