Transmission1,Measure Names,Year1,Measure Values
Manual,Median Kms Driven,2017,8700
Manual,Avg. Kms Driven,2017,10040.481481481
Manual,Median Kms Driven,2016,15000
Manual,Avg. Kms Driven,2016,18080.25
Manual,Median Kms Driven,2015,31427
Manual,Avg. Kms Driven,2015,31953.528301887
Manual,Median Kms Driven,2014,39742.5
Manual,Avg. Kms Driven,2014,38060.352941176
Manual,Median Kms Driven,2013,44000
Manual,Avg. Kms Driven,2013,38914.5
Manual,Median Kms Driven,2012,36000
Manual,Avg. Kms Driven,2012,38745.333333333
Manual,Median Kms Driven,2011,39000
Manual,Avg. Kms Driven,2011,39790
Manual,Median Kms Driven,2010,50000
Manual,Avg. Kms Driven,2010,61400.846153846
Manual,Median Kms Driven,2009,69562
Manual,Avg. Kms Driven,2009,67384.6
Manual,Median Kms Driven,2008,54000
Manual,Avg. Kms Driven,2008,48500
