Transmission1,Measure Names,Year1,Measure Values
Manual,Avg. SP Euros,2018,9250
Manual,Avg. PP Euros,2018,9830
Manual,Avg. SP Euros,2017,4240.370370370
Manual,Avg. PP Euros,2017,4812.592592593
Manual,Avg. SP Euros,2016,4885.454545455
Manual,Avg. PP Euros,2016,6160.681818182
Manual,Avg. SP Euros,2015,4845.283018868
Manual,Avg. PP Euros,2015,6739.056603774
Manual,Avg. SP Euros,2014,3952.058823529
Manual,Avg. PP Euros,2014,6275.382352941
Manual,Avg. SP Euros,2013,3041.333333333
Manual,Avg. PP Euros,2013,5943.233333333
Manual,Avg. SP Euros,2012,2807.142857143
Manual,Avg. PP Euros,2012,5830
Manual,Avg. SP Euros,2011,2262.777777778
Manual,Avg. PP Euros,2011,4989.055555556
Manual,Avg. SP Euros,2010,5649.230769231
Manual,Avg. PP Euros,2010,14739.230769231
Manual,Avg. SP Euros,2009,2660
Manual,Avg. PP Euros,2009,9714
Manual,Avg. SP Euros,2008,650
Manual,Avg. PP Euros,2008,2359.25
Manual,Avg. SP Euros,2007,160
Manual,Avg. PP Euros,2007,665
Manual,Avg. SP Euros,2006,1083.333333333
Manual,Avg. PP Euros,2006,4166.666666667
Manual,Avg. SP Euros,2005,2487.5
Manual,Avg. PP Euros,2005,9485
Manual,Avg. SP Euros,2003,1300
Manual,Avg. PP Euros,2003,5130
